Date,Open,High,Low,Close,Adj Close,Volume
2018-05-17,188.000000,188.910004,186.360001,186.990005,182.939926,17294000
2018-05-18,187.190002,187.809998,186.130005,186.309998,182.274643,18297700
2018-05-21,188.000000,189.270004,186.910004,187.630005,183.566071,18400800
2018-05-22,188.380005,188.880005,186.779999,187.160004,183.106216,15240700
2018-05-23,186.350006,188.500000,185.759995,188.360001,184.280273,20058400
2018-05-24,188.770004,188.839996,186.210007,188.149994,184.074799,23234000
2018-05-25,188.229996,189.649994,187.649994,188.580002,184.495499,17461000
2018-05-29,187.600006,188.750000,186.869995,187.899994,183.830231,22514100
2018-05-30,187.720001,188.000000,186.779999,187.500000,183.438889,18690500
2018-05-31,187.220001,188.229996,186.139999,186.869995,182.822510,27482800
2018-06-01,187.990005,190.259995,187.750000,190.240005,186.119507,23442500
2018-06-04,191.639999,193.419998,191.350006,191.830002,187.675095,26266200
2018-06-05,193.070007,193.940002,192.360001,193.309998,189.123032,21566000
2018-06-06,193.630005,194.080002,191.919998,193.979996,189.778519,20933600
2018-06-07,194.139999,194.199997,192.339996,193.460007,189.269806,21347200
2018-06-08,191.169998,192.000000,189.770004,191.699997,187.547913,26656800
2018-06-11,191.350006,191.970001,190.210007,191.229996,187.088089,18308500
2018-06-12,191.389999,192.610001,191.149994,192.279999,188.115341,16911100
2018-06-13,192.419998,192.880005,190.440002,190.699997,186.569565,21638400
2018-06-14,191.550003,191.570007,190.220001,190.800003,186.667404,21610100
2018-06-15,190.029999,190.160004,188.259995,188.839996,184.749863,61719200
2018-06-18,187.880005,189.220001,187.199997,188.740005,184.652008,18484900
2018-06-19,185.139999,186.330002,183.449997,185.690002,181.668076,33578500
2018-06-20,186.350006,187.199997,185.729996,186.500000,182.460541,20628700
2018-06-21,187.250000,188.350006,184.940002,185.460007,181.443069,25711900
2018-06-22,186.119995,186.149994,184.699997,184.919998,180.914749,27200400
2018-06-25,183.399994,184.919998,180.729996,182.169998,178.224304,31663100
2018-06-26,182.990005,186.529999,182.539993,184.429993,180.435379,24569200
2018-06-27,185.229996,187.279999,184.029999,184.160004,180.171219,25285300
2018-06-28,184.100006,186.210007,183.800003,185.500000,181.482208,17365200
2018-06-29,186.289993,187.190002,182.910004,185.110001,181.100647,22737700
2018-07-02,183.820007,187.300003,183.419998,187.179993,183.125809,17731300
2018-07-03,187.789993,187.949997,183.539993,183.919998,179.936417,13954800
2018-07-05,185.259995,186.410004,184.279999,185.399994,181.384354,16604200
2018-07-06,185.419998,188.429993,185.199997,187.970001,183.898682,17485200
2018-07-09,189.500000,190.679993,189.300003,190.580002,186.452164,19756600
2018-07-10,190.710007,191.279999,190.179993,190.350006,186.227173,15939100
2018-07-11,188.500000,189.779999,187.610001,187.880005,183.810638,18831500
2018-07-12,189.529999,191.410004,189.309998,191.029999,186.892410,18041100
2018-07-13,191.080002,191.839996,190.899994,191.330002,187.185898,12513900
2018-07-16,191.520004,192.649994,190.419998,190.910004,186.775024,15043100
2018-07-17,189.750000,191.869995,189.199997,191.449997,187.303299,15534500
2018-07-18,191.779999,191.800003,189.929993,190.399994,186.276047,16393400
2018-07-19,189.690002,192.550003,189.690002,191.880005,187.724030,20286800
2018-07-20,191.779999,192.429993,190.169998,191.440002,187.293564,20676200
2018-07-23,190.679993,191.960007,189.559998,191.610001,187.459839,15989400
2018-07-24,192.449997,193.660004,192.050003,193.000000,188.819748,18697900
2018-07-25,193.059998,194.850006,192.429993,194.820007,190.600342,16709900
2018-07-26,194.610001,195.960007,193.610001,194.210007,190.003540,19076000
2018-07-27,194.990005,195.190002,190.100006,190.979996,186.843521,24024000
2018-07-30,191.899994,192.199997,189.070007,189.910004,185.796677,21029500
2018-07-31,190.300003,192.139999,189.339996,190.289993,186.168427,39373000
2018-08-01,199.130005,201.759995,197.309998,201.500000,197.135651,67935700
2018-08-02,200.580002,208.380005,200.350006,207.389999,202.898071,62404000
2018-08-03,207.029999,208.740005,205.479996,207.990005,203.485062,33447400
2018-08-06,208.000000,209.250000,207.070007,209.070007,204.541672,25425400
2018-08-07,209.320007,209.500000,206.759995,207.110001,202.624130,25587400
2018-08-08,206.050003,207.809998,204.520004,207.250000,202.761124,22525500
2018-08-09,209.529999,209.779999,207.199997,208.880005,204.355804,23492600
2018-08-10,207.360001,209.100006,206.669998,207.529999,203.747101,24611200
2018-08-13,209.309998,210.949997,207.699997,208.869995,205.062668,25890900
2018-08-14,210.160004,210.559998,208.259995,209.750000,205.926666,20748000
2018-08-15,209.220001,210.740005,208.330002,210.240005,206.407715,28807600
2018-08-16,211.750000,213.809998,211.470001,213.320007,209.431580,28500400
2018-08-17,213.440002,217.949997,213.160004,217.580002,213.613892,35427000
2018-08-20,218.100006,219.179993,215.110001,215.460007,211.532562,30287700
2018-08-21,216.800003,217.190002,214.029999,215.039993,211.120209,26159800
2018-08-22,214.100006,216.360001,213.839996,215.050003,211.130035,19018100
2018-08-23,214.649994,217.050003,214.600006,215.490005,211.562012,18883200
2018-08-24,216.600006,216.899994,215.110001,216.160004,212.219803,18476400
2018-08-27,217.149994,218.740005,216.330002,217.940002,213.967346,20525100
2018-08-28,219.009995,220.539993,218.919998,219.699997,215.695267,22776800
2018-08-29,220.149994,223.490005,219.410004,222.979996,218.915482,27254800
2018-08-30,223.250000,228.259995,222.399994,225.029999,220.928101,48793800
2018-08-31,226.509995,228.869995,226.000000,227.630005,223.480713,43340100
2018-09-04,228.410004,229.179993,226.630005,228.360001,224.197418,27390100
2018-09-05,228.990005,229.669998,225.100006,226.869995,222.734589,33333000
2018-09-06,226.229996,227.350006,221.300003,223.100006,219.033310,34290000
2018-09-07,221.850006,225.369995,220.710007,221.300003,217.266113,37619800
2018-09-10,220.949997,221.850006,216.470001,218.330002,214.350235,39516500
2018-09-11,218.009995,224.300003,216.559998,223.850006,219.769638,35749000
2018-09-12,224.940002,225.000000,219.839996,221.070007,217.040298,49278700
2018-09-13,223.520004,228.350006,222.570007,226.410004,222.282959,41706400
2018-09-14,225.750000,226.839996,222.520004,223.839996,219.759811,31999300
2018-09-17,222.149994,222.949997,217.270004,217.880005,213.908447,37195100
2018-09-18,217.789993,221.850006,217.119995,218.240005,214.261887,31571700
2018-09-19,218.500000,219.619995,215.300003,218.369995,214.389496,27123800
2018-09-20,220.240005,222.279999,219.149994,220.029999,216.019272,26608800
2018-09-21,220.779999,221.360001,217.289993,217.660004,213.692459,96246700
2018-09-24,216.820007,221.259995,216.630005,220.789993,216.765396,27693400
2018-09-25,219.750000,222.820007,219.699997,222.190002,218.139877,24554400
2018-09-26,221.000000,223.750000,219.759995,220.419998,216.402145,23984700
2018-09-27,223.820007,226.440002,223.539993,224.949997,220.849579,30181200
2018-09-28,224.789993,225.839996,224.020004,225.740005,221.625168,22929400
2018-10-01,227.949997,229.419998,226.350006,227.259995,223.117462,23600800
2018-10-02,227.250000,230.000000,226.630005,229.279999,225.100647,24788200
2018-10-03,230.050003,233.470001,229.779999,232.070007,227.839798,28654800
2018-10-04,230.779999,232.350006,226.729996,227.990005,223.834167,32042000
2018-10-05,227.960007,228.410004,220.580002,224.289993,220.201599,33580500
2018-10-08,222.210007,224.800003,220.199997,223.770004,219.691101,29663900
2018-10-09,223.639999,227.270004,222.250000,226.869995,222.734589,26891000
2018-10-10,225.460007,226.350006,216.050003,216.360001,212.416153,41990600
2018-10-11,214.520004,219.500000,212.320007,214.449997,210.540970,53124400
2018-10-12,220.419998,222.880005,216.839996,222.110001,218.061340,40337900
2018-10-15,221.160004,221.830002,217.270004,217.360001,213.397919,30791000
2018-10-16,218.929993,222.990005,216.759995,222.149994,218.100601,29184000
2018-10-17,222.300003,222.639999,219.339996,221.190002,217.158112,22885400
2018-10-18,217.860001,219.740005,213.000000,216.020004,212.082352,32581300
2018-10-19,218.059998,221.259995,217.429993,219.309998,215.312363,33078700
2018-10-22,219.789993,223.360001,218.940002,220.649994,216.627945,28792100
2018-10-23,215.830002,223.250000,214.699997,222.729996,218.670029,38767800
2018-10-24,222.600006,224.229996,214.539993,215.089996,211.169296,40925500
2018-10-25,217.710007,221.380005,216.750000,219.800003,215.793457,29855800
2018-10-26,215.899994,220.190002,212.669998,216.300003,212.357239,47258400
2018-10-29,219.190002,219.690002,206.089996,212.240005,208.371262,45935500
2018-10-30,211.149994,215.179993,209.270004,213.300003,209.411926,36660000
2018-10-31,216.880005,220.449997,216.619995,218.860001,214.870590,38358900
